 DEPT ,GR ,SP ,CAL ,AC , CNL ,DEN,LLD, LLS ,POR,VSH,Sw,PERM,Sg
2604.14,125.327,41.675,24.481,232.352,40.508,2.29,26.174,25.173,0.21818181818181812,0.8237642857142857,0.2003232680313588,0.01282243926872025,0.6618924462543555
2604.265,126.638,42.039,24.501,243.317,47.833,2.266,22.306,21.461,0.23272727272727267,0.8331285714285714,0.2034355620275933,0.015561692220645375,0.6685285418685106
2604.39,129.358,42.328,24.494,256.032,54.629,2.241,20.297,19.499,0.24787878787878778,0.8525571428571429,0.20023026056240462,0.018803256590666017,0.6888748390046949
2604.515,132.22,42.664,24.379,262.832,57.898,2.238,20.484,19.627,0.24969696969696967,0.873,0.19786288938156174,0.019220062544294758,0.7068486257699534
2604.64,135.395,42.909,24.083,260.713,53.169,2.266,22.675,21.666,0.23272727272727267,0.8956785714285715,0.20177347525282133,0.015561692220645375,0.7181835377341917
2604.765,139.286,43.034,23.664,253.546,42.215,2.314,26.519,25.283,0.20363636363636356,0.9234714285714286,0.21323137004774737,0.01042511803062766,0.7258240585236813
2604.89,143.311,43.054,23.315,244.257,31.459,2.34,31.404,29.916,0.18787878787878792,0.9522214285714287,0.21238056322759483,0.008187441877881634,0.748817445430414
2605.015,146.308,42.897,23.277,235.898,25.353,2.323,35.862,34.18,0.19818181818181815,0.9736285714285714,0.18840999611451847,0.009609624249844632,0.7904449129763906
2605.14,147.734,42.737,23.495,232.483,22.781,2.274,38.808,37.022,0.22787878787878782,0.9838142857142858,0.1575144752258454,0.014609208364294567,0.8299881914408214
2605.265,147.378,42.577,23.514,232.661,22.813,2.23,39.785,37.957,0.2545454545454545,0.9812714285714285,0.13927076937731966,0.020361558653569665,0.8467679319213816
2605.39,144.826,42.571,23.088,236.905,24.254,2.206,40.112,38.216,0.2690909090909091,0.9630428571428571,0.13120452640586444,0.024055370973277312,0.8417831619058238
2605.515,140.658,42.777,22.409,243.561,26.73,2.217,41.221,39.172,0.26242424242424234,0.9332714285714285,0.13271554301832617,0.02231140078127118,0.8180670803582971
2605.64,138.054,42.895,21.92,245.686,29.89,2.273,44.479,42.156,0.22848484848484837,0.9146714285714286,0.14674053186424696,0.014726081479351531,0.7874271824214674
2605.765,138.226,42.942,21.728,243.994,32.204,2.368,49.797,47.122,0.17090909090909093,0.9159,0.18540363654612937,0.006163259778686777,0.7448698179993253
2605.89,139.359,42.712,21.703,240.001,31.735,2.475,56.1,53.097,0.10606060606060595,0.9239928571428572,0.28148124746965114,0.0014729136757501164,0.6505729733095698
2606.015,138.257,42.415,21.773,231.418,28.88,2.577,60.258,57.149,0.044242424242424215,0.9161214285714286,0.6510865587580257,0.00010691329854680513,0.2687458611553943
2606.14,135.968,42.155,22.021,221.515,26.192,2.645,59.472,56.601,0.0030303030303029657,0.8997714285714284,1.0,3.435367173760995e-08,0.0
2606.265,136.306,41.932,22.657,216.35,24.869,2.649,52.207,49.922,0.0006060606060605394,0.9021857142857144,1.0,2.748293739008065e-10,0.0
2606.39,139.417,41.775,23.756,216.294,25.552,2.582,41.353,39.753,0.04121212121212125,0.9244071428571429,0.8437358897683456,8.641514969440713e-05,0.08378659508013929
2606.515,141.618,41.697,24.93,221.423,29.376,2.429,30.827,29.761,0.133939393939394,0.9401285714285714,0.30068450019084514,0.0029664700606033155,0.6474632140948692
2606.64,139.532,41.749,25.302,233.351,38.608,2.261,24.101,23.284,0.23575757575757564,0.9252285714285715,0.1931976385302631,0.016177520262654406,0.7496588636342392
2606.765,136.088,41.886,24.603,251.955,47.979,2.147,21.646,20.837,0.3048484848484849,0.9006285714285713,0.15765659196869092,0.03497575544582995,0.7732652088971098
2606.89,135.293,41.979,23.32,266.503,56.373,2.099,23.213,22.23,0.33393939393939376,0.89495,0.13897980942769958,0.045974598482873066,0.7910505239056337
2607.015,137.927,41.922,22.409,268.333,56.836,2.084,28.604,27.332,0.34303030303030296,0.9137642857142857,0.1218818760750088,0.049832473220454004,0.8214638728427401
2607.14,140.271,41.852,22.204,261.285,47.949,2.158,35.429,33.93,0.2981818181818182,0.9305071428571428,0.12598661179391613,0.03273093840146182,0.8252420375567332
2607.265,139.953,41.447,22.471,246.383,34.932,2.314,40.709,39.161,0.20363636363636356,0.9282357142857143,0.17210141928134942,0.01042511803062766,0.770748113186183
2607.39,137.262,40.755,22.716,230.324,26.312,2.446,41.959,40.524,0.12363636363636349,0.9090142857142857,0.2792069434708951,0.002333209041748978,0.6410564851005335
2607.515,134.248,39.933,22.67,225.813,22.896,2.523,40.43,39.114,0.07696969696969684,0.8874857142857142,0.4568917906067729,0.0005629558173992388,0.4392541141551318
2607.64,132.963,39.134,22.353,233.02,24.402,2.517,38.955,37.635,0.08060606060606061,0.8783071428571428,0.44446308982255994,0.0006465737537260852,0.44365323485276476
2607.765,134.528,38.377,22.038,240.969,28.019,2.5,40.073,38.593,0.09090909090909086,0.8894857142857142,0.38855433544016676,0.0009275491369155266,0.5109781320923006
2607.89,137.623,37.717,21.845,245.548,31.162,2.522,43.632,41.901,0.07757575757575765,0.9115928571428571,0.43637153812139917,0.000576358971135016,0.482079570103709
2608.015,139.682,37.253,21.74,243.815,31.852,2.558,47.884,45.905,0.05575757575757581,0.9262999999999999,0.5795433247939512,0.00021400633550414246,0.35086600853938205
2608.14,139.937,36.808,21.649,237.036,30.784,2.585,50.624,48.484,0.03939393939393936,0.9281214285714287,0.7977693759659084,7.547501680753372e-05,0.13318363269210037
2608.265,139.708,36.351,21.584,229.419,29.56,2.624,51.148,48.959,0.015757575757575637,0.9264857142857142,1.0,4.830401075682058e-06,0.0
2608.39,140.437,35.767,21.605,223.716,28.995,2.67,49.737,47.598,0.0,0.9316928571428572,1.0,0.0,0.0
2608.515,142.188,35.136,21.709,220.767,28.937,2.693,48.195,46.12,0.0,0.9441999999999999,1.0,0.0,0.0
2608.64,144.384,34.487,21.866,221.307,29.551,2.68,48.05,45.998,0.0,0.9598857142857142,1.0,0.0,0.0
2608.765,146.555,33.845,21.988,225.501,31.288,2.64,50.148,48.055,0.006060606060605931,0.9753928571428572,1.0,2.748293739008796e-07,0.0
2608.89,148.465,33.3,22.004,232.27,33.982,2.584,53.76,51.571,0.039999999999999904,0.9890357142857144,0.7624219319910435,7.901234567901178e-05,0.2270523537232423
2609.015,149.503,32.799,21.891,238.406,36.531,2.531,58.701,55.251,0.07212121212121199,0.99645,0.40466834676719204,0.0004631311928934595,0.5920376835358382
2609.14,148.871,32.447,21.708,237.768,35.733,2.508,65.527,61.468,0.086060606060606,0.9919357142857144,0.3209744470564907,0.0007869156483379506,0.6716552845452409
2609.265,146.044,32.095,21.54,231.42,31.245,2.528,74.25,69.698,0.07393939393939387,0.9717428571428572,0.35096263876134265,0.000499048368939195,0.6228695343988305
2609.39,141.134,31.775,21.45,221.849,25.934,2.578,84.127,79.101,0.043636363636363674,0.9366714285714285,0.5586872353619098,0.00010257951414976234,0.3807476217809473
2609.515,135.781,31.423,21.427,214.482,22.151,2.631,93.188,87.815,0.011515151515151593,0.8984357142857143,1.0,1.885054675586292e-06,0.0
2609.64,130.921,30.939,21.426,209.531,20.053,2.667,99.715,94.177,0.0,0.8637214285714285,1.0,0.0,0.0
2609.765,127.737,30.448,21.412,205.867,19.475,2.684,101.833,96.367,0.0,0.8409785714285714,1.0,0.0,0.0
2609.89,126.868,29.957,21.396,205.114,19.972,2.688,99.863,94.636,0.0,0.8347714285714285,1.0,0.0,0.0
2610.015,127.751,29.586,21.405,206.837,21.359,2.688,95.382,90.448,0.0,0.8410785714285715,1.0,0.0,0.0
2610.14,128.904,29.346,21.466,209.472,23.258,2.687,91.134,86.392,0.0,0.8493142857142857,1.0,0.0,0.0
2610.265,128.975,29.188,21.564,211.236,24.48,2.686,89.035,84.33,0.0,0.8498214285714285,1.0,0.0,0.0
2610.39,127.766,29.008,21.67,212.184,24.154,2.682,89.918,85.1,0.0,0.8411857142857143,1.0,0.0,0.0
2610.515,126.387,28.755,21.739,213.189,22.82,2.674,94.102,89.056,0.0,0.8313357142857143,1.0,0.0,0.0
2610.64,126.244,28.548,21.761,214.42,21.859,2.662,101.19,95.827,0.0,0.8303142857142857,1.0,0.0,0.0
2610.765,128.052,28.405,21.748,215.778,21.834,2.647,110.924,105.166,0.0018181818181818871,0.8432285714285713,1.0,7.420393095325068e-09,0.0
2610.89,130.139,28.284,21.728,217.7,22.63,2.621,122.015,115.859,0.017575757575757526,0.8581357142857143,1.0,6.7028136000689246e-06,0.0
2611.015,130.552,28.248,21.717,219.797,24.029,2.6,132.471,126.056,0.030303030303030196,0.8610857142857142,0.6411188331693656,3.4353671737611784e-05,0.22417640492587246
2611.14,129.357,28.34,21.719,220.932,25.806,2.595,139.078,132.757,0.033333333333333166,0.85255,0.5688228559617706,4.572473708276108e-05,0.2886421440382294
2611.265,129.167,28.397,21.723,221.034,27.296,2.602,139.077,133.25,0.02909090909090912,0.8511928571428572,0.651778532339269,3.0393930118448104e-05,0.2037432598685233
2611.39,131.872,28.43,21.721,221.666,28.086,2.612,132.446,127.376,0.02303030303030292,0.8705142857142858,0.8436570235300257,1.5080437404689811e-05,0.029839357422355328
2611.515,137.164,28.636,21.708,223.514,28.205,2.619,121.895,117.591,0.018787878787878604,0.9083142857142856,1.0,8.187441877881389e-06,0.0
2611.64,142.065,28.829,21.694,225.845,27.941,2.62,111.943,108.273,0.018181818181818063,0.9433214285714285,1.0,7.420393095324079e-06,0.0
2611.765,144.939,28.999,21.688,227.593,27.809,2.619,104.282,101.132,0.018787878787878604,0.96385,1.0,8.187441877881389e-06,0.0
2611.89,146.188,29.041,21.694,228.623,28.582,2.618,98.37,95.695,0.01939393939393941,0.9727714285714285,1.0,9.005608923984623e-06,0.0
2612.015,147.076,29.108,21.703,229.501,30.491,2.62,92.667,90.421,0.018181818181818063,0.9791142857142857,1.0,7.420393095324079e-06,0.0
2612.14,147.49,29.184,21.707,230.895,32.88,2.627,87.052,85.123,0.01393939393939402,0.9820714285714286,1.0,3.3438489922522747e-06,0.0
2612.265,147.025,29.227,21.702,232.269,34.103,2.634,82.85,81.067,0.009696969696969706,0.97875,1.0,1.125701115498078e-06,0.0
2612.39,146.674,29.244,21.694,232.613,33.668,2.639,81.327,79.535,0.00666666666666674,0.9762428571428572,1.0,3.657978966621062e-07,0.0
2612.515,146.625,29.269,21.687,232.348,32.259,2.636,84.063,82.12,0.008484848484848359,0.9758928571428571,1.0,7.541318019840284e-07,0.0
2612.64,145.673,29.171,21.68,231.222,30.918,2.626,92.5,90.293,0.01454545454545456,0.9690928571428572,1.0,3.799241264806014e-06,0.0
2612.765,142.569,28.991,21.67,227.619,29.619,2.616,107.304,104.75,0.020606060606060492,0.9469214285714285,1.0,1.0801893711800686e-05,0.0
2612.89,136.29,28.786,21.661,222.252,27.771,2.616,127.324,124.416,0.020606060606060492,0.9020714285714285,0.9616895399862666,1.0801893711800686e-05,0.0
2613.015,127.971,28.599,21.664,217.767,25.462,2.63,146.649,141.305,0.012121212121212133,0.84265,1.0,2.1986349912071842e-06,0.0
2613.14,120.072,28.415,21.683,215.77,23.49,2.65,160.98,153.896,0.0,0.7862285714285715,1.0,0.0,0.0
2613.265,116.372,28.121,21.706,216.416,22.872,2.659,169.938,162.588,0.0,0.7598,1.0,0.0,0.0
2613.39,117.139,27.801,21.721,217.404,23.478,2.652,178.341,170.693,0.0,0.7652785714285714,1.0,0.0,0.0
2613.515,119.806,27.433,21.73,215.763,24.58,2.642,188.589,180.805,0.004848484848484853,0.7843285714285714,1.0,1.4071263943725973e-07,0.0
2613.64,120.606,27.048,21.749,212.169,24.394,2.646,197.907,190.84,0.0024242424242424264,0.7900428571428572,1.0,1.758907992965747e-08,0.0
2613.765,119.571,26.66,21.772,209.045,22.536,2.662,200.086,194.959,0.0,0.78265,1.0,0.0,0.0
2613.89,119.674,26.334,21.785,207.493,20.37,2.674,190.092,187.707,0.0,0.7833857142857144,1.0,0.0,0.0
2614.015,123.785,26.156,21.783,209.463,19.967,2.668,169.933,169.766,0.0,0.81275,1.0,0.0,0.0
2614.14,131.099,25.97,21.783,215.061,21.94,2.645,146.675,147.459,0.0030303030303029657,0.8649928571428571,1.0,3.435367173760995e-08,0.0
2614.265,138.472,25.755,21.797,221.983,26.027,2.62,128.016,128.497,0.018181818181818063,0.917657142857143,1.0,7.420393095324079e-06,0.0
2614.39,143.478,25.544,21.809,228.126,30.255,2.603,118.808,118.682,0.02848484848484831,0.9534142857142858,0.7201919221457089,2.8533610086512328e-05,0.23454935058156384
2614.515,146.202,25.372,21.804,230.133,32.296,2.599,119.917,119.419,0.030909090909090737,0.9728714285714286,0.660630153786371,3.645639127732731e-05,0.3130797942655771
2614.64,145.409,25.187,21.781,226.91,30.624,2.604,133.248,132.619,0.02787878787878777,0.9672071428571428,0.6948335259284518,2.675079193801742e-05,0.2732878420369161
2614.765,138.851,25.098,21.762,221.714,26.812,2.614,160.078,159.387,0.021818181818181837,0.9203642857142857,0.8100290995742598,1.282243926872029e-05,0.11207269263353241
2614.89,126.003,25.099,21.757,216.096,22.332,2.629,199.065,199.051,0.012727272727272672,0.8285928571428571,1.0,2.5451948316961757e-06,0.0
2615.015,111.502,25.181,21.768,209.175,18.812,2.646,232.381,234.492,0.0024242424242424264,0.7250142857142857,1.0,1.758907992965747e-08,0.0
2615.14,103.048,25.284,21.785,204.925,17.037,2.658,240.288,244.551,0.0,0.6646285714285715,1.0,0.0,0.0
2615.265,104.616,25.301,21.798,206.333,17.29,2.658,219.629,224.448,0.0,0.6758285714285714,1.0,0.0,0.0
2615.39,113.464,25.274,21.802,210.588,19.572,2.646,191.987,195.628,0.0024242424242424264,0.7390285714285714,1.0,1.758907992965747e-08,0.0
2615.515,122.741,25.167,21.799,212.83,22.861,2.632,178.035,179.898,0.010909090909090785,0.8052928571428571,1.0,1.6028049085899774e-06,0.0
2615.64,125.545,25.055,21.794,212.498,25.215,2.625,185.416,185.62,0.015151515151515098,0.8253214285714285,1.0,4.294208967201473e-06,0.0
2615.765,120.162,25.051,21.792,210.712,24.287,2.625,209.728,208.839,0.015151515151515098,0.7868714285714287,1.0,4.294208967201473e-06,0.0
2615.89,111.407,25.188,21.793,208.712,21.222,2.631,241.965,240.962,0.011515151515151593,0.7243357142857143,1.0,1.885054675586292e-06,0.0
